STATION 1,S1_ID,STATION 2,S2_ID,LINE,MILES,KILOMETERS,DEPRECATION
Ashmont,7,Shawmut,97,Red,0.62,1,Active
Shawmut,97,Fields Corner,49,Red,0.58,0.93,Active
Fields Corner,49,Savin Hill,95,Red,1,1.61,Active
Savin Hill,95,JFK/UMass,61,Red,0.71,1.14,Active
JFK/UMass,61,Andrew,4,Red,0.74,1.19,Active
Andrew,4,Broadway,24,Red,0.85,1.37,Active
Broadway,24,South Station,98,Red,0.82,1.32,Active
South Station,98,Downtown Crossing,43,Red,0.26,0.42,Active
Downtown Crossing,43,Park St,83,Red,0.23,0.37,Active
Park St,83,Charles/MGH,32,Red,0.56,0.9,Active
Charles/MGH,32,Kendall/MIT,62,Red,0.71,1.14,Active
Kendall/MIT,62,Central,30,Red,0.95,1.53,Active
Central,30,Harvard,54,Red,1.07,1.72,Active
Harvard,54,Porter,85,Red,0.99,1.59,Active
Porter,85,Davis,41,Red,0.66,1.06,Active
Davis,41,Alewife,2,Red,0.96,1.54,Active
Braintree,21,Quincy Adams,87,Red,1.86,2.99,Active
Quincy Adams,87,Quincy Center,88,Red,1.33,2.14,Active
Quincy Center,88,Wollaston,118,Red,1.28,2.06,Active
Wollaston,118,North Quincy,77,Red,0.8,1.29,Active
North Quincy,77,JFK/UMass,61,Red,3.53,5.68,Active
Mattapan,70,Capen St,28,Red,0.25,0.4,Active
Capen St,28,Valley Rd,112,Red,0.31,0.5,Active
Valley Rd,112,Central Ave,31,Red,0.43,0.69,Active
Central Ave,31,Milton,72,Red,0.32,0.51,Active
Milton,72,Butler,27,Red,0.29,0.47,Active
Butler,27,Cedar Grove,29,Red,0.57,0.92,Active
Cedar Grove,29,Ashmont,7,Red,0.38,0.61,Active
Boston College,15,South St,99,Green B,0.488,0.79,Active
South St,99,Chestnut Hill Ave,34,Green B,0.28,0.45,Active
Chestnut Hill Ave,34,Chiswick Rd,36,Green B,0.223,0.36,Active
Chiswick Rd,36,Sutherland Rd,108,Green B,0.224,0.36,Active
Sutherland Rd,108,Washington St,116,Green B,0.296,0.48,Active
Washington St,116,Warren St,114,Green B,0.311,0.5,Active
Warren St,114,Allston St,3,Green B,0.154,0.25,Active
Allston St,3,Griggs St,53,Green B,0.186,0.3,Active
Griggs St,53,Harvard Ave,55,Green B,0.253,0.41,Active
Harvard Ave,55,Packards Corner,82,Green B,0.3,0.48,Active
Packards Corner,82,Babcock St,9,Green B,0.283,0.46,Active
Babcock St,9,Pleasant St,84,Green B,0.132,0.21,DEP
Pleasant St,84,St Paul St B,101,Green B,0.151,0.24,DEP
St Paul St B,101,BU West,18,Green B,0.136,0.22,DEP
BU West,18,BU Central,16,Green B,0.316,0.51,DEP
Babcock St,9,Amory St,122,Green B,0.265,0.43,Active
Amory St,122,BU Central,16,Green B,0.395,0.64,Active
BU Central,16,BU East,17,Green B,0.148,0.24,Active
BU East,17,Blandford St,14,Green B,0.199,0.32,Active
Blandford St,14,Kenmore,63,Green B,0.264,0.42,Active
Kenmore,63,Hynes Convention Center,59,Green BCD,0.362,0.58,Active
Hynes Convention Center,59,Copley,40,Green BCD,0.565,0.91,Active
Copley,40,Arlington,6,Green BCDE,0.363,0.58,Active
Arlington,6,Boylston,20,Green BCDE,0.325,0.52,Active
Boylston,20,Park St,83,Green BCDE,0.303,0.49,Active
Park St,83,Government Center,51,Green BCDE,0.249,0.4,Active
Cleveland Circle,37,Englewood Ave,45,Green C,0.209,0.34,Active
Englewood Ave,45,Dean Rd,42,Green C,0.17,0.27,Active
Dean Rd,42,Tappan St,110,Green C,0.208,0.33,Active
Tappan St,110,Washington Sq,115,Green C,0.176,0.28,Active
Washington Sq,115,Fairbanks St,46,Green C,0.213,0.34,Active
Fairbanks St,46,Brandon Hall,22,Green C,0.127,0.2,Active
Brandon Hall,22,Summit Ave,107,Green C,0.168,0.27,Active
Summit Ave,107,Coolidge Corner,39,Green C,0.241,0.39,Active
Coolidge Corner,39,St Paul St,102,Green C,0.234,0.38,Active
St Paul St,102,Kent St,64,Green C,0.154,0.25,Active
Kent St,64,Hawes St,56,Green C,0.157,0.25,Active
Hawes St,56,St Marys St,100,Green C,0.211,0.34,Active
St Marys St,100,Kenmore,63,Green C,0.713,1.15,Active
Riverside,91,Woodland,121,Green D,0.575,0.93,Active
Woodland,121,Waban,113,Green D,0.806,1.3,Active
Waban,113,Eliot,44,Green D,0.844,1.36,Active
Eliot,44,Newton Highlands,76,Green D,0.74,1.19,Active
Newton Highlands,76,Newton Centre,75,Green D,0.83,1.34,Active
Newton Centre,75,Chestnut Hill,33,Green D,1.483,2.39,Active
Chestnut Hill,33,Reservoir,89,Green D,0.987,1.59,Active
Reservoir,89,Beaconsfield,13,Green D,0.431,0.69,Active
Beaconsfield,13,Brookline Hills,25,Green D,0.799,1.29,Active
Brookline Hills,25,Brookline Village,26,Green D,0.543,0.87,Active
Brookline Village,26,Longwood,66,Green D,0.738,1.19,Active
Longwood,66,Fenway,47,Green D,0.39,0.63,Active
Fenway,47,Kenmore,63,Green D,0.531,0.85,Active
Heath St,58,Back of the Hill,11,Green E,0.074,0.12,Active
Back of the Hill,11,Riverway,92,Green E,0.153,0.25,Active
Riverway,92,Mission Park,73,Green E,0.174,0.28,Active
Mission Park,73,Fenwood Rd,48,Green E,0.205,0.33,Active
Fenwood Rd,48,Brigham Circle,23,Green E,0.146,0.23,Active
Brigham Circle,23,Longwood Medical Area,67,Green E,0.219,0.35,Active
Longwood Medical Area,67,Museum of Fine Arts,74,Green E,0.275,0.44,Active
Museum of Fine Arts,74,Northeastern,79,Green E,0.374,0.6,Active
Northeastern,79,Symphony,109,Green E,0.281,0.45,Active
Symphony,109,Prudential,86,Green E,0.232,0.37,Active
Prudential,86,Copley,40,Green E,0.422,0.68,Active
Government Center,51,Haymarket,57,Green DE,0.275,0.44,Active
Haymarket,57,North Station,78,Green DE,0.355,0.57,Active
North Station,78,Science Park,96,Green DE,0.337,0.54,Active
Science Park,96,Lechmere,65,Green DE,0.562,0.904,Active
Lechmere,65,Union Sq,128,Green D,1.05,1.68,Active
Lechmere,65,East Somerville,124,Green E,0.758,1.22,Active
