STATION 1,S1_ID,STATION 2,S2_ID,LINE,MILES,KILOMETERS,DEPRECATION
HARROW & WEALDSTONE,100,KENTON,125,Bakerloo,1.08,1.74,Active
KENTON,125,SOUTH KENTON,209,Bakerloo,0.87,1.4,Active
SOUTH KENTON,209,NORTH WEMBLEY,160,Bakerloo,0.56,0.9,Active
NORTH WEMBLEY,160,WEMBLEY CENTRAL,249,Bakerloo,0.79,1.27,Active
WEMBLEY CENTRAL,249,STONEBRIDGE PARK,220,Bakerloo,1.06,1.71,Active
STONEBRIDGE PARK,220,HARLESDEN,99,Bakerloo,0.95,1.53,Active
HARLESDEN,99,WILLESDEN JUNCTION,264,Bakerloo,0.65,1.05,Active
WILLESDEN JUNCTION,264,KENSAL GREEN,122,Bakerloo,0.93,1.5,Active
KENSAL GREEN,122,QUEENS PARK,183,Bakerloo,0.82,1.32,Active
QUEENS PARK,183,KILBURN PARK,128,Bakerloo,0.49,0.79,Active
KILBURN PARK,128,MAIDA VALE,142,Bakerloo,0.55,0.88,Active
MAIDA VALE,142,WARWICK AVENUE,246,Bakerloo,0.49,0.79,Active
WARWICK AVENUE,246,PADDINGTON BCD,172,Bakerloo,0.55,0.88,Active
PADDINGTON BCD,172,EDGWARE ROAD B,70,Bakerloo,0.45,0.72,Active
EDGWARE ROAD B,70,MARYLEBONE,146,Bakerloo,0.28,0.45,Active
MARYLEBONE,146,BAKER STREET,10,Bakerloo,0.31,0.5,Active
BAKER STREET,10,REGENTS PARK,189,Bakerloo,0.55,0.88,Active
REGENTS PARK,189,OXFORD CIRCUS,171,Bakerloo,0.54,0.87,Active
OXFORD CIRCUS,171,PICCADILLY CIRCUS,177,Bakerloo,0.6,0.97,Active
PICCADILLY CIRCUS,177,CHARING CROSS,44,Bakerloo,0.34,0.55,Active
CHARING CROSS,44,EMBANKMENT,74,Bakerloo,0.23,0.37,Active
EMBANKMENT,74,WATERLOO,247,Bakerloo,0.44,0.71,Active
WATERLOO,247,LAMBETH NORTH,133,Bakerloo,0.39,0.63,Active
LAMBETH NORTH,133,ELEPHANT & CASTLE,72,Bakerloo,0.51,0.82,Active
WEST RUISLIP,258,RUISLIP GARDENS,195,Central,1.27,2.04,Active
RUISLIP GARDENS,195,SOUTH RUISLIP,210,Central,0.53,0.86,Active
SOUTH RUISLIP,210,NORTHOLT,162,Central,1.42,2.28,Active
NORTHOLT,162,GREENFORD,91,Central,1.11,1.78,Active
GREENFORD,91,PERIVALE,176,Central,1.05,1.69,Active
PERIVALE,176,HANGER LANE,98,Central,1.31,2.1,Active
HANGER LANE,98,NORTH ACTON,156,Central,1.55,2.49,Active
EALING BROADWAY,61,WEST ACTON,251,Central,0.95,1.53,Active
WEST ACTON,251,NORTH ACTON,156,Central,1.1,1.77,Active
NORTH ACTON,156,EAST ACTON,64,Central,0.69,1.11,Active
EAST ACTON,64,WHITE CITY,261,Central,1.28,2.06,Active
WHITE CITY,261,SHEPHERDS BUSH,202,Central,0.72,1.16,Active
SHEPHERDS BUSH,202,HOLLAND PARK,113,Central,0.54,0.87,Active
HOLLAND PARK,113,NOTTING HILL GATE,166,Central,0.38,0.61,Active
NOTTING HILL GATE,166,QUEENSWAY,185,Central,0.43,0.69,Active
QUEENSWAY,185,LANCASTER GATE,134,Central,0.56,0.9,Active
LANCASTER GATE,134,MARBLE ARCH,145,Central,0.75,1.2,Active
MARBLE ARCH,145,BOND STREET,24,Central,0.34,0.55,Active
BOND STREET,24,OXFORD CIRCUS,171,Central,0.41,0.66,Active
OXFORD CIRCUS,171,TOTTENHAM COURT ROAD,229,Central,0.36,0.58,Active
TOTTENHAM COURT ROAD,229,HOLBORN,112,Central,0.55,0.88,Active
HOLBORN,112,CHANCERY LANE,43,Central,0.25,0.4,Active
CHANCERY LANE,43,ST PAULS,200,Central,0.64,1.03,Active
ST PAULS,200,BANK,12,Central,0.46,0.74,Active
BANK,12,LIVERPOOL STREET,139,Central,0.46,0.74,Active
LIVERPOOL STREET,139,BETHNAL GREEN,21,Central,1.41,2.27,Active
