ID,Name,Latitude,Longitude
1,Acton Town,51.5028,-0.28
2,Aldgate,51.514,-0.076
3,Aldgate East,51.5152,-0.0722
4,Alperton,51.5408,-0.2997
5,Amersham,51.674,-0.607
6,Angel,51.532,-0.106
7,Archway,51.5656,-0.135
8,Arnos Grove,51.6163,-0.1336
9,Arsenal,51.5586,-0.1058
10,Baker Street,51.522,-0.157
11,Balham,51.4426,-0.152
12,Bank,51.513,-0.088
13,Barbican,51.5202,-0.0977
14,Barking,51.5393,0.0817
15,Barkingside,51.5848,0.0886
16,Barons Court,51.4906,-0.2136
17,Bayswater,51.512,-0.188
18,Becontree,51.5403,0.1267
19,Belsize Park,51.5503,-0.1644
20,Bermondsey,51.4981,-0.0639
21,Bethnal Green,51.5272,-0.0556
22,Blackfriars,51.5116,-0.103
23,Blackhorse Road,51.5869,-0.0414
24,Bond Street,51.514,-0.15
25,Borough,51.501,-0.093
26,Boston Manor,51.4955,-0.3252
27,Bounds Green,51.6069,-0.1242
28,Bow Road,51.5272,-0.0247
29,Brent Cross,51.5767,-0.2136
30,Brixton,51.4626,-0.1149
31,Bromley-by-Bow,51.524,-0.0113
32,Buckhurst Hill,51.6267,0.0469
33,Burnt Oak,51.6028,-0.2639
34,Caledonian Road,51.5483,-0.1186
35,Camden Town,51.5394,-0.1427
36,Canada Water,51.4983,-0.05
37,Canary Wharf,51.5036,-0.0186
38,Canning Town,51.514,0.0083
39,Cannon Street,51.5104,-0.0907
40,Canons Park,51.6078,-0.2947
41,Chalfont & Latimer,51.6679,-0.561
42,Chalk Farm,51.5442,-0.1533
43,Chancery Lane,51.518,-0.111
44,Charing Cross,51.508,-0.1248
45,Chesham,51.7052,-0.6113
46,Chigwell,51.6175,0.0742
47,Chiswick Park,51.4947,-0.2678
48,Chorleywood,51.6542,-0.5183
49,Clapham Common,51.4617,-0.1382
50,Clapham North,51.465,-0.13
51,Clapham South,51.4528,-0.147
52,Cockfosters,51.6516,-0.1488
53,Colindale,51.5956,-0.25
54,Colliers Wood,51.4183,-0.178
55,Covent Garden,51.513,-0.1243
56,Croxley,51.6475,-0.4413
57,Dagenham East,51.5444,0.1656
58,Dagenham Heathway,51.5417,0.1469
59,Debden,51.6453,0.0839
60,Dollis Hill,51.5519,-0.2386
61,Ealing Broadway,51.5147,-0.3017
62,Ealing Common,51.5103,-0.2881
63,Earls Court,51.4913,-0.1947
64,East Acton,51.5169,-0.2475
65,East Finchley,51.5872,-0.165
66,East Ham,51.539,0.0516
67,East Putney,51.4587,-0.2113
68,Eastcote,51.5767,-0.3969
69,Edgware,51.614,-0.275
70,Edgware Road B,51.5203,-0.1703
71,Edgware Road CDH,51.52,-0.1678
72,Elephant & Castle,51.4944,-0.0997
73,Elm Park,51.5497,0.1978
74,Embankment,51.507,-0.122
75,Epping,51.693,0.1138
76,Euston,51.5284,-0.1331
77,Euston Square,51.5258,-0.1358
78,Fairlop,51.5956,0.0905
79,Farringdon,51.52,-0.1053
80,Finchley Central,51.6011,-0.1924
81,Finchley Road,51.5472,-0.1803
82,Finsbury Park,51.5647,-0.1064
83,Fulham Broadway,51.4806,-0.1947
